policy_idx,validation_type,accuracy,total_requests,correct,incorrect,misclassified_allow_to_deny,misclassified_deny_to_allow,output_file
0,baseline,40.0,100,40,60,60,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-100/Quacky_output/temp_validation_3795469_1751254967.txt
1,baseline,40.0,100,40,60,60,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-100/Quacky_output/temp_validation_3795469_1751254968.txt
2,baseline,40.0,100,40,60,60,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-100/Quacky_output/temp_validation_3795469_1751254969.txt
3,baseline,40.0,100,40,60,60,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-100/Quacky_output/temp_validation_3795469_1751254969.txt
4,baseline,40.0,100,40,60,60,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-100/Quacky_output/temp_validation_3795469_1751254969.txt
5,baseline,30.0,100,30,70,42,28,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-100/Quacky_output/temp_validation_3795469_1751254969.txt
6,baseline,40.0,100,40,60,60,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-100/Quacky_output/temp_validation_3795469_1751255016.txt
7,baseline,30.0,100,30,70,42,28,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-100/Quacky_output/temp_validation_3795469_1751255016.txt
8,baseline,35.0,100,35,65,49,16,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-100/Quacky_output/temp_validation_3795469_1751255016.txt
9,baseline,36.0,100,36,64,53,11,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-100/Quacky_output/temp_validation_3795469_1751255017.txt
