index,status,accuracies,baseline_accuracy,final_accuracy,iterations_used,error
0,error,[],40.8,0.0,0,name 'load_json_file' is not defined
1,error,[],40.8,0.0,0,name 'load_json_file' is not defined
2,error,[],40.8,0.0,0,name 'load_json_file' is not defined
3,error,[],40.8,0.0,0,name 'load_json_file' is not defined
4,error,[],40.8,0.0,0,name 'load_json_file' is not defined
5,error,[],30.0,0.0,0,name 'load_json_file' is not defined
6,error,[],40.8,0.0,0,name 'load_json_file' is not defined
7,error,[],30.0,0.0,0,name 'load_json_file' is not defined
8,error,[],37.5,0.0,0,name 'load_json_file' is not defined
9,error,[],29.2,0.0,0,name 'load_json_file' is not defined
