policy_index,status,baseline_accuracy,final_accuracy,accuracy_improvement,iterations_used,target_achieved,error,accuracy_progression
0,failed,40.8,40.8,0.0,5,False,,"[40.8, 40.8, 40.8, 40.8, 40.8, 40.8]"
1,failed,40.8,40.8,0.0,5,False,,"[40.8, 40.8, 40.8, 40.8, 40.8, 40.8]"
2,failed,40.8,40.8,0.0,5,False,,"[40.8, 40.8, 40.8, 40.8, 40.8, 40.8]"
3,failed,40.8,40.8,0.0,5,False,,"[40.8, 40.8, 40.8, 40.8, 40.8, 40.8]"
4,failed,40.8,40.8,0.0,5,False,,"[40.8, 40.8, 40.8, 40.8, 40.8, 40.8]"
5,failed,30.0,30.0,0.0,5,False,,"[30.0, 30.0, 30.0, 30.0, 30.0, 30.0]"
6,failed,40.8,40.8,0.0,5,False,,"[40.8, 0.0, 0.0, 0.0, 0.0, 0.0]"
7,failed,30.0,37.5,7.5,5,False,,"[30.0, 37.5, 37.5, 37.5, 37.5, 37.5]"
8,failed,37.5,40.8,3.299999999999997,5,False,,"[37.5, 40.8, 40.8, 40.8, 40.8, 40.8]"
9,failed,29.2,65.8,36.599999999999994,5,False,,"[29.2, 65.0, 65.0, 65.0, 65.0, 65.8]"
