policy_idx,iteration,accuracy,total_requests,correct,incorrect,misclassified_allow_to_deny,misclassified_deny_to_allow,policy_file
0,1,81.2,80,65,15,15,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-80/policy_0_iter_1.json
0,2,81.2,80,65,15,15,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-80/policy_0_iter_2.json
0,3,81.2,80,65,15,15,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-80/policy_0_iter_3.json
0,4,81.2,80,65,15,15,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-80/policy_0_iter_4.json
0,5,81.2,80,65,15,15,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-80/policy_0_iter_5.json
1,1,100.0,80,80,0,0,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-80/policy_1_iter_1.json
2,1,100.0,80,80,0,0,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-80/policy_2_iter_1.json
3,1,98.8,80,79,1,1,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-80/policy_3_iter_1.json
3,2,98.8,80,79,1,1,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-80/policy_3_iter_2.json
3,3,98.8,80,79,1,1,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-80/policy_3_iter_3.json
3,4,98.8,80,79,1,1,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-80/policy_3_iter_4.json
3,5,98.8,80,79,1,1,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-80/policy_3_iter_5.json
4,1,82.5,80,66,14,14,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-80/policy_4_iter_1.json
4,2,82.5,80,66,14,14,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-80/policy_4_iter_2.json
4,3,82.5,80,66,14,14,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-80/policy_4_iter_3.json
4,4,82.5,80,66,14,14,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-80/policy_4_iter_4.json
4,5,82.5,80,66,14,14,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-80/policy_4_iter_5.json
5,1,100.0,80,80,0,0,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-80/policy_5_iter_1.json
6,1,100.0,80,80,0,0,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-80/policy_6_iter_1.json
7,1,100.0,80,80,0,0,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-80/policy_7_iter_1.json
8,1,100.0,80,80,0,0,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-80/policy_8_iter_1.json
9,1,100.0,80,80,0,0,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-80/policy_9_iter_1.json
