policy_idx,validation_type,accuracy,total_requests,correct,incorrect,misclassified_allow_to_deny,misclassified_deny_to_allow,output_file
0,baseline,41.1,90,37,53,53,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-90/Quacky_output/temp_validation_3997331_1751295799.txt
1,baseline,41.1,90,37,53,53,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-90/Quacky_output/temp_validation_3997331_1751295799.txt
2,baseline,41.1,90,37,53,53,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-90/Quacky_output/temp_validation_3997331_1751295800.txt
3,baseline,41.1,90,37,53,53,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-90/Quacky_output/temp_validation_3997331_1751295800.txt
4,baseline,41.1,90,37,53,53,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-90/Quacky_output/temp_validation_3997331_1751295801.txt
5,baseline,30.0,90,27,63,37,26,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-90/Quacky_output/temp_validation_3997331_1751295801.txt
6,baseline,41.1,90,37,53,53,0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-90/Quacky_output/temp_validation_3997331_1751295842.txt
7,baseline,30.0,90,27,63,37,26,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-90/Quacky_output/temp_validation_3997331_1751295842.txt
8,baseline,33.3,90,30,60,50,10,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-90/Quacky_output/temp_validation_3997331_1751295843.txt
9,baseline,36.7,90,33,57,39,18,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-90/Quacky_output/temp_validation_3997331_1751295843.txt
