policy_idx,validation_type,accuracy,total_requests,correct,incorrect,misclassified_allow_to_deny,misclassified_deny_to_allow,output_file,iteration,policy_file,structure_validation_passed,error
0,baseline,41.1,90.0,37.0,53.0,53.0,0.0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-90/Quacky_output/temp_validation_3997331_1751295799.txt,,,,
1,baseline,41.1,90.0,37.0,53.0,53.0,0.0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-90/Quacky_output/temp_validation_3997331_1751295799.txt,,,,
2,baseline,41.1,90.0,37.0,53.0,53.0,0.0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-90/Quacky_output/temp_validation_3997331_1751295800.txt,,,,
3,baseline,41.1,90.0,37.0,53.0,53.0,0.0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-90/Quacky_output/temp_validation_3997331_1751295800.txt,,,,
4,baseline,41.1,90.0,37.0,53.0,53.0,0.0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-90/Quacky_output/temp_validation_3997331_1751295801.txt,,,,
5,baseline,30.0,90.0,27.0,63.0,37.0,26.0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-90/Quacky_output/temp_validation_3997331_1751295801.txt,,,,
6,baseline,41.1,90.0,37.0,53.0,53.0,0.0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-90/Quacky_output/temp_validation_3997331_1751295842.txt,,,,
7,baseline,30.0,90.0,27.0,63.0,37.0,26.0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-90/Quacky_output/temp_validation_3997331_1751295842.txt,,,,
8,baseline,33.3,90.0,30.0,60.0,50.0,10.0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-90/Quacky_output/temp_validation_3997331_1751295843.txt,,,,
9,baseline,36.7,90.0,33.0,57.0,39.0,18.0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/results/result-90/Quacky_output/temp_validation_3997331_1751295843.txt,,,,
0,repair,100.0,90.0,90.0,0.0,0.0,0.0,,1.0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_0_iter_1.json,True,
1,repair,96.7,90.0,87.0,3.0,1.0,2.0,,1.0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_1_iter_1.json,True,
1,repair,96.7,90.0,87.0,3.0,1.0,2.0,,2.0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_1_iter_2.json,True,
1,repair,96.7,90.0,87.0,3.0,1.0,2.0,,3.0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_1_iter_3.json,True,
1,repair,96.7,90.0,87.0,3.0,1.0,2.0,,4.0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_1_iter_4.json,True,
1,repair,96.7,90.0,87.0,3.0,1.0,2.0,,5.0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_1_iter_5.json,True,
2,repair,84.4,90.0,76.0,14.0,9.0,5.0,,1.0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_2_iter_1.json,True,
2,repair,84.4,90.0,76.0,14.0,9.0,5.0,,2.0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_2_iter_2.json,True,
2,repair,84.4,90.0,76.0,14.0,9.0,5.0,,3.0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_2_iter_3.json,True,
2,repair,84.4,90.0,76.0,14.0,9.0,5.0,,4.0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_2_iter_4.json,True,
2,repair,84.4,90.0,76.0,14.0,9.0,5.0,,5.0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_2_iter_5.json,True,
3,repair,100.0,90.0,90.0,0.0,0.0,0.0,,1.0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_3_iter_1.json,True,
4,repair,95.6,90.0,86.0,4.0,0.0,4.0,,1.0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_4_iter_1.json,True,
4,repair,95.6,90.0,86.0,4.0,0.0,4.0,,2.0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_4_iter_2.json,True,
4,repair,95.6,90.0,86.0,4.0,0.0,4.0,,3.0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_4_iter_3.json,True,
4,repair,95.6,90.0,86.0,4.0,0.0,4.0,,4.0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_4_iter_4.json,True,
4,repair,95.6,90.0,86.0,4.0,0.0,4.0,,5.0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_4_iter_5.json,True,
5,repair,71.1,90.0,64.0,26.0,0.0,26.0,,1.0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_5_iter_1.json,True,
5,repair,71.1,90.0,64.0,26.0,0.0,26.0,,2.0,/home/bhall2/Documents/fixmypolicy/FL/Experiment-1/temp_validation/val-90/policy_5_iter_2.json,True,
