policy_idx,iteration,accuracy,total_requests,correct,incorrect,misclassified_allow_to_deny,misclassified_deny_to_allow,failed_examples_count,failed_examples,policy_file,error
0,1,70.0,20.0,14.0,6.0,6.0,0.0,6,"[{'request_id': 'allow_af76cff0', 'action': 's3:GetBucketLocation', 'resource': 'arn:aws:athena:us-east-1:123456789012:workgroup/primary', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_5ece3571', 'action': 's3:DeleteBucket', 'resource': 'arn:aws:s3:::athena-query-results/logs/app.log', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_78dbbc4a', 'action': 'kms:DescribeKey', 'resource': 'arn:aws:s3:::bkt_logs/data/file.json', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_78dbbc4a', 'action': 'athena:StartQueryExecution', 'resource': 'arn:aws:s3:::bkt_logs/data/file.json', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_78dbbc4a', 'action': 'athena:StopQueryExecution', 'resource': 'arn:aws:s3:::bkt_logs/data/file.json', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_c51a9dbe', 'action': 'kms:CreateGrant', 'resource': 'arn:aws:s3:::bkt_logs/document.txt', 'expected': 'allow', 'actual': 'deny'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-20/policy_0_iter_1.json,
0,2,100.0,20.0,20.0,0.0,0.0,0.0,0,[],/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-20/policy_0_iter_2.json,
1,1,100.0,20.0,20.0,0.0,0.0,0.0,0,[],/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-20/policy_1_iter_1.json,
2,1,100.0,20.0,20.0,0.0,0.0,0.0,0,[],/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-20/policy_2_iter_1.json,
3,1,100.0,20.0,20.0,0.0,0.0,0.0,0,[],/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-20/policy_3_iter_1.json,
4,1,90.0,20.0,18.0,2.0,2.0,0.0,2,"[{'request_id': 'allow_261ced25', 'action': 's3:CreateBucket', 'resource': 'arn:aws:s3:::*/data/file.json', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_261ced25', 'action': 's3:ListBucket', 'resource': 'arn:aws:s3:::*/data/file.json', 'expected': 'allow', 'actual': 'deny'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-20/policy_4_iter_1.json,
4,2,100.0,20.0,20.0,0.0,0.0,0.0,0,[],/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-20/policy_4_iter_2.json,
5,1,100.0,20.0,20.0,0.0,0.0,0.0,0,[],/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-20/policy_5_iter_1.json,
6,1,100.0,20.0,20.0,0.0,0.0,0.0,0,[],/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-20/policy_6_iter_1.json,
7,1,75.0,20.0,15.0,5.0,5.0,0.0,5,"[{'request_id': 'allow_45fa3678', 'action': 's3:PutBucketPolicy', 'resource': 'arn:aws:s3:::bucket/data/file.json', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_696f5543', 'action': 's3:DeleteObject', 'resource': 'arn:aws:s3:::bucket', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_0eefc9fe', 'action': 's3:DeleteObject', 'resource': 'arn:aws:s3:::bucket', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_3e206d10', 'action': 's3:PutBucketPolicy', 'resource': 'arn:aws:s3:::bucket/temp/upload.tmp', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_3e206d10', 'action': 's3:PutBucketPolicy', 'resource': 'arn:aws:s3:::bucket/data/file.json', 'expected': 'allow', 'actual': 'deny'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-20/policy_7_iter_1.json,
