Metric,Value
Policy Name,policy_1_iter_2.json
Policy Index,
Policy File,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-25-ollama/policy_1_iter_2.json
Requests File,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/requests/request-25/1.json
,
Total Statements Analyzed,12
Faulty Statements,12
Working Statements,0
Statement-level Policy Health (%),0.0
,
Total Individual Requests,300
Correct Classifications,137
Incorrect Classifications,163
Overall Accuracy (%),45.7
