policy_name,policy_index,policy_file,statement_index,statement_id,is_faulty,accuracy,total_requests,failed_requests,statement_effect,statement_action,statement_resource
policy_2_iter_2.json,,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-25-ollama/policy_2_iter_2.json,1,allow_e2e94232,True,44.0,25,14,Allow,['ec2:TerminateInstances'],['arn:aws:s3:::my-bucket/document.txt']
policy_2_iter_2.json,,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-25-ollama/policy_2_iter_2.json,2,allow_96f2013a,True,56.0,25,11,Allow,['ec2:DescribeInstances'],"['arn:aws:glue:us-east-1:123456789012:table/my-database/my-table', 'arn:aws:s3:::my-bucket/document.txt']"
policy_2_iter_2.json,,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-25-ollama/policy_2_iter_2.json,3,allow_eade5419,True,48.0,25,13,Allow,['ec2:CreateSecurityGroup'],['arn:aws:athena:us-east-1:123456789012:workgroup/primary']
policy_2_iter_2.json,,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-25-ollama/policy_2_iter_2.json,4,allow_5b6b2e04,True,48.0,25,13,Allow,['ec2:DescribeInstances'],['arn:aws:s3:::my-bucket/document.txt']
policy_2_iter_2.json,,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-25-ollama/policy_2_iter_2.json,5,allow_a418da9c,True,68.0,25,8,Allow,"['ec2:TerminateInstances', 'ec2:DescribeInstances']","['arn:aws:glue:us-east-1:123456789012:table/my-database/my-table', 'arn:aws:s3:::my-bucket/document.txt']"
policy_2_iter_2.json,,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-25-ollama/policy_2_iter_2.json,6,allow_e77bba7d,True,60.0,25,10,Allow,"['ec2:CreateSecurityGroup', 'ec2:RunInstances']","['arn:aws:athena:us-east-1:123456789012:workgroup/primary', 'arn:aws:glue:us-east-1:123456789012:table/my-database/my-table']"
policy_2_iter_2.json,,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-25-ollama/policy_2_iter_2.json,7,allow_75a7fc2a,True,52.0,25,12,Allow,"['ec2:DescribeInstances', 'ec2:RunInstances']",['arn:aws:s3:::my-bucket/document.txt']
policy_2_iter_2.json,,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-25-ollama/policy_2_iter_2.json,8,deny_6306d9ac,True,40.0,25,15,Deny,['iam:CreateUser'],['arn:aws:s3:::my-bucket/document.txt']
policy_2_iter_2.json,,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-25-ollama/policy_2_iter_2.json,9,deny_53342cd3,True,40.0,25,15,Deny,['ec2:RunInstances'],['arn:aws:kms:us-east-1:123456789012:key/forbidden-key']
policy_2_iter_2.json,,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-25-ollama/policy_2_iter_2.json,10,deny_b11dfa54,True,40.0,25,15,Deny,['iam:CreateUser'],['arn:aws:s3:::my-bucket/document.txt']
policy_2_iter_2.json,,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-25-ollama/policy_2_iter_2.json,11,deny_d92c7a6c,True,40.0,25,15,Deny,['iam:CreateUser'],['arn:aws:glue:us-east-1:123456789012:table/my-database/my-table']
policy_2_iter_2.json,,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-25-ollama/policy_2_iter_2.json,12,deny_d2bb0251,True,40.0,25,15,Deny,"['ec2:DescribeInstances', 'ec2:TerminateInstances']",['arn:aws:kms:us-east-1:123456789012:key/forbidden-key']
policy_2_iter_2.json,,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-25-ollama/policy_2_iter_2.json,13,deny_6545c1de,True,40.0,25,15,Deny,['dynamodb:DeleteItem'],"['arn:aws:glue:us-east-1:123456789012:table/my-database/my-table', 'arn:aws:s3:::my-bucket/document.txt']"
policy_2_iter_2.json,,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-25-ollama/policy_2_iter_2.json,14,deny_7611d1d9,True,40.0,25,15,Deny,['ec2:DescribeInstances'],['arn:aws:s3:::forbidden-bucket/document.txt']
policy_2_iter_2.json,,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-25-ollama/policy_2_iter_2.json,15,deny_702ebdb6,True,40.0,25,15,Deny,['ec2:CreateSecurityGroup'],['arn:aws:kms:us-east-1:123456789012:key/forbidden-key']
