policy_idx,validation_type,accuracy,failed_examples_count,failed_examples,iteration,baseline_accuracy,improvement_from_baseline,error,policy_file,total_requests,correct,incorrect,misclassified_allow_to_deny,misclassified_deny_to_allow,erroneous_policy
0,baseline,40.0,0,[],,,,,,,,,,,
1,baseline,64.0,0,[],,,,,,,,,,,
2,baseline,56.0,0,[],,,,,,,,,,,
3,baseline,44.0,0,[],,,,,,,,,,,
4,baseline,48.0,0,[],,,,,,,,,,,
5,baseline,88.0,0,[],,,,,,,,,,,
6,baseline,40.0,0,[],,,,,,,,,,,
7,baseline,92.0,0,[],,,,,,,,,,,
8,baseline,68.0,0,[],,,,,,,,,,,
9,baseline,80.0,0,[],,,,,,,,,,,
0,repair,0.0,0,,1.0,40.0,-40.0,"Accuracy validation failed: Traceback (most recent call last):
  File ""/home/bhall2/Documents/fixmypolicy/quacky/src/validate_requests.py"", line 1573, in <module>
    call_translator(args)
  File ""/home/bhall2/Documents/fixmypolicy/quacky/src/translator.py"", line 25, in call_translator
    body = visit_policy_model(
  File ""/home/bhall2/Documents/fixmypolicy/quacky/src/backend.py"", line 36, in visit_policy_model
    body += Policy('p0', obj, smt_lib, enc).smt()
  File ""/home/bhall2/Documents/fixmypolicy/quacky/src/policy_model.py"", line 353, in __init__
    Statement('{}.s{}'.format(self.id, str(i)), obj['Statement'][i], self.smt_lib, self.enc))
  File ""/home/bhall2/Documents/fixmypolicy/quacky/src/policy_model.py"", line 195, in __init__
    self.is_allow = (obj['Effect'] == 'Allow') # statement allows
KeyError: 'Effect'
",,,,,,,
0,repair,0.0,0,,2.0,40.0,-40.0,"Accuracy validation failed: Traceback (most recent call last):
  File ""/home/bhall2/Documents/fixmypolicy/quacky/src/validate_requests.py"", line 1573, in <module>
    call_translator(args)
  File ""/home/bhall2/Documents/fixmypolicy/quacky/src/translator.py"", line 25, in call_translator
    body = visit_policy_model(
  File ""/home/bhall2/Documents/fixmypolicy/quacky/src/backend.py"", line 36, in visit_policy_model
    body += Policy('p0', obj, smt_lib, enc).smt()
  File ""/home/bhall2/Documents/fixmypolicy/quacky/src/policy_model.py"", line 353, in __init__
    Statement('{}.s{}'.format(self.id, str(i)), obj['Statement'][i], self.smt_lib, self.enc))
  File ""/home/bhall2/Documents/fixmypolicy/quacky/src/policy_model.py"", line 195, in __init__
    self.is_allow = (obj['Effect'] == 'Allow') # statement allows
KeyError: 'Effect'
",,,,,,,
0,repair,0.0,0,,3.0,40.0,-40.0,"Accuracy validation failed: Traceback (most recent call last):
  File ""/home/bhall2/Documents/fixmypolicy/quacky/src/validate_requests.py"", line 1573, in <module>
    call_translator(args)
  File ""/home/bhall2/Documents/fixmypolicy/quacky/src/translator.py"", line 25, in call_translator
    body = visit_policy_model(
  File ""/home/bhall2/Documents/fixmypolicy/quacky/src/backend.py"", line 36, in visit_policy_model
    body += Policy('p0', obj, smt_lib, enc).smt()
  File ""/home/bhall2/Documents/fixmypolicy/quacky/src/policy_model.py"", line 353, in __init__
    Statement('{}.s{}'.format(self.id, str(i)), obj['Statement'][i], self.smt_lib, self.enc))
  File ""/home/bhall2/Documents/fixmypolicy/quacky/src/policy_model.py"", line 195, in __init__
    self.is_allow = (obj['Effect'] == 'Allow') # statement allows
KeyError: 'Effect'
",,,,,,,
0,repair,0.0,0,,4.0,40.0,-40.0,"Accuracy validation failed: Traceback (most recent call last):
  File ""/home/bhall2/Documents/fixmypolicy/quacky/src/validate_requests.py"", line 1573, in <module>
    call_translator(args)
  File ""/home/bhall2/Documents/fixmypolicy/quacky/src/translator.py"", line 25, in call_translator
    body = visit_policy_model(
  File ""/home/bhall2/Documents/fixmypolicy/quacky/src/backend.py"", line 36, in visit_policy_model
    body += Policy('p0', obj, smt_lib, enc).smt()
  File ""/home/bhall2/Documents/fixmypolicy/quacky/src/policy_model.py"", line 353, in __init__
    Statement('{}.s{}'.format(self.id, str(i)), obj['Statement'][i], self.smt_lib, self.enc))
  File ""/home/bhall2/Documents/fixmypolicy/quacky/src/policy_model.py"", line 195, in __init__
    self.is_allow = (obj['Effect'] == 'Allow') # statement allows
KeyError: 'Effect'
",,,,,,,
0,repair,0.0,0,,5.0,40.0,-40.0,"Accuracy validation failed: Traceback (most recent call last):
  File ""/home/bhall2/Documents/fixmypolicy/quacky/src/validate_requests.py"", line 1573, in <module>
    call_translator(args)
  File ""/home/bhall2/Documents/fixmypolicy/quacky/src/translator.py"", line 25, in call_translator
    body = visit_policy_model(
  File ""/home/bhall2/Documents/fixmypolicy/quacky/src/backend.py"", line 36, in visit_policy_model
    body += Policy('p0', obj, smt_lib, enc).smt()
  File ""/home/bhall2/Documents/fixmypolicy/quacky/src/policy_model.py"", line 353, in __init__
    Statement('{}.s{}'.format(self.id, str(i)), obj['Statement'][i], self.smt_lib, self.enc))
  File ""/home/bhall2/Documents/fixmypolicy/quacky/src/policy_model.py"", line 195, in __init__
    self.is_allow = (obj['Effect'] == 'Allow') # statement allows
KeyError: 'Effect'
",,,,,,,
5,repair,96.0,1,"[{'request_id': 'allow_a7a75d76', 'action': 'sts:TagSession', 'resource': 'arn:aws:iam::{account id}:role/{role name}', 'principal': 'arn:aws:iam::999888777666:oidc-provider/gitlab.com', 'condition': ""{'StringEquals': {'aws:RequestedRegion': 'us-east-1'}}"", 'expected': 'allow', 'actual': 'deny'}]",1.0,88.0,8.0,,/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-25-ollama/policy_5_iter_1.json,25.0,24.0,1.0,1.0,0.0,"{'Version': '2012-10-17', 'Statement': [{'Sid': 'allow_8993d6a8', 'Effect': 'Allow', 'Action': ['sts:AssumeRoleWithWebIdentity'], 'Resource': 'arn:aws:iam::{account id}:role/{role name}', 'Principal': {'Federated': 'arn:aws:iam::{account id}:oidc-provider/gitlab.com'}, 'Condition': {'StringLike': {'gitlab.com:sub': 'project_path:{redacted}/*:ref_type:branch:ref:*'}}}, {'Sid': 'allow_76407ea7', 'Effect': 'Allow', 'Action': ['sts:AssumeRoleWithWebIdentity'], 'Resource': 'arn:aws:iam::{account id}:role/{role name}', 'Principal': {'Federated': 'arn:aws:iam::999888777666:oidc-provider/gitlab.com'}, 'Condition': {'IpAddress': {'aws:SourceIp': '203.0.113.0/24'}}}, {'Sid': 'allow_d183c60e', 'Effect': 'Allow', 'Action': ['sts:TagSession', 'sts:AssumeRoleWithWebIdentity'], 'Resource': 'arn:aws:iam::{account id}:role/{role name}', 'Principal': {'Federated': 'arn:aws:iam::{account id}:oidc-provider/gitlab.com'}, 'Condition': {'StringLike': {'gitlab.com:sub': 'project_path:{redacted}/*:ref_type:branch:ref:*'}}}, {'Sid': 'allow_f307dac2', 'Effect': 'Allow', 'Action': ['sts:AssumeRoleWithWebIdentity', 'sts:TagSession'], 'Resource': 'arn:aws:iam::{account id}:role/{role name}', 'Principal': {'Federated': 'arn:aws:iam::{account id}:oidc-provider/gitlab.com'}, 'Condition': {'StringLike': {'gitlab.com:sub': 'project_path:{redacted}/*:ref_type:branch:ref:*'}}}, {'Sid': 'allow_d70606b8', 'Effect': 'Allow', 'Action': ['sts:AssumeRoleWithWebIdentity', 'sts:TagSession'], 'Resource': 'arn:aws:iam::{account id}:role/{role name}', 'Principal': {'Federated': 'arn:aws:iam::{account id}:oidc-provider/gitlab.com'}, 'Condition': {'StringLike': {'gitlab.com:sub': 'project_path:{redacted}/*:ref_type:branch:ref:*'}}}, {'Sid': 'allow_073faf3b', 'Effect': 'Allow', 'Action': ['sts:AssumeRoleWithWebIdentity'], 'Resource': 'arn:aws:iam::{account id}:role/{role name}', 'Principal': {'Federated': 'arn:aws:iam::{account id}:oidc-provider/forbidden-gitlab.com'}, 'Condition': {'DateGreaterThan': {'aws:CurrentTime': '2024-01-01T00:00:00Z'}}}, {'Sid': 'allow_d3852d97', 'Effect': 'Allow', 'Action': ['sts:AssumeRoleWithWebIdentity', 'sts:TagSession'], 'Resource': 'arn:aws:iam::{account id}:role/{role name}', 'Principal': {'Federated': 'arn:aws:iam::{account id}:oidc-provider/gitlab.com'}, 'Condition': {'StringLike': {'gitlab.com:sub': 'project_path:{redacted}/*:ref_type:branch:ref:*'}}}, {'Sid': 'allow_aba21a21', 'Effect': 'Allow', 'Action': ['sts:AssumeRoleWithWebIdentity', 'sts:TagSession'], 'Resource': 'arn:aws:iam::{account id}:role/{role name}', 'Principal': {'Federated': 'arn:aws:iam::{account id}:oidc-provider/gitlab.com'}, 'Condition': {'StringLike': {'gitlab.com:sub': 'project_path:{redacted}/*:ref_type:branch:ref:*'}}}, {'Sid': 'allow_a7a75d76', 'Effect': 'Allow', 'Action': ['sts:TagSession', 'sts:AssumeRoleWithWebIdentity'], 'Resource': 'arn:aws:iam::999888777666:oidc-provider/gitlab.com', 'Principal': {'Federated': 'arn:aws:iam::{account id}:oidc-provider/forbidden-gitlab.com'}, 'Condition': {'StringEquals': {'aws:RequestedRegion': 'us-east-1'}}}, {'Sid': 'deny_8f5fd29a', 'Effect': 'Deny', 'Action': ['sts:AssumeRoleWithWebIdentity'], 'Resource': 'arn:aws:iam::{account id}:role/{role name}-forbidden-resource', 'Principal': {'Federated': 'arn:aws:iam::{account id}:oidc-provider/forbidden-gitlab.com'}, 'Condition': {'IpAddress': {'aws:SourceIp': '203.0.113.0/24'}}}, {'Sid': 'deny_6807127b', 'Effect': 'Deny', 'Action': ['lambda:InvokeFunction'], 'Resource': 'arn:aws:iam::{account id}:role/{role name}', 'Principal': {'Federated': 'arn:aws:iam::{account id}:oidc-provider/forbidden-gitlab.com'}, 'Condition': {'DateGreaterThan': {'aws:CurrentTime': '2024-01-01T00:00:00Z'}}}, {'Sid': 'deny_7ab50d79', 'Effect': 'Deny', 'Action': ['iam:DeleteUser'], 'Resource': 'arn:aws:iam::{account id}:role/{role name}', 'Principal': {'Federated': 'arn:aws:iam::999888777666:oidc-provider/gitlab.com'}, 'Condition': {'IpAddress': {'aws:SourceIp': '203.0.113.0/24'}}}, {'Sid': 'deny_8ad3f7a4', 'Effect': 'Deny', 'Action': ['ec2:DescribeInstances'], 'Resource': 'arn:aws:iam::{account id}:role/{role name}', 'Principal': {'Federated': 'arn:aws:iam::{account id}:oidc-provider/gitlab.com'}, 'Condition': {'StringLike': {'gitlab.com:sub': 'project_path:{redacted}/*:ref_type:branch:ref:*'}}}, {'Sid': 'deny_ab9d914e', 'Effect': 'Deny', 'Action': ['sts:AssumeRoleWithWebIdentity'], 'Resource': 'forbidden-arn:aws:iam::{account id}:role/{role name}-specific', 'Principal': {'Federated': 'arn:aws:iam::{account id}:oidc-provider/forbidden-gitlab.com'}, 'Condition': {'DateGreaterThan': {'aws:CurrentTime': '2024-01-01T00:00:00Z'}}}, {'Sid': 'deny_3bd3fd51', 'Effect': 'Deny', 'Action': ['ec2:RunInstances'], 'Resource': 'arn:aws:iam::999888777666:oidc-provider/gitlab.com', 'Principal': {'Federated': 'arn:aws:iam::{account id}:oidc-provider/forbidden-gitlab.com'}, 'Condition': {'IpAddress': {'aws:SourceIp': '203.0.113.0/24'}}}, {'Sid': 'deny_21faaecd', 'Effect': 'Deny', 'Action': ['sts:TagSession', 'sts:AssumeRoleWithWebIdentity'], 'Resource': 'unauthorized/arn:aws:iam::{account id}:role/{role name}/file.txt', 'Principal': {'Federated': 'arn:aws:iam::123456789012:user/alice'}, 'Condition': {'StringEquals': {'aws:RequestedRegion': 'us-east-1'}}}, {'Sid': 'deny_04f0fda1', 'Effect': 'Deny', 'Action': ['sts:TagSession', 'sts:AssumeRoleWithWebIdentity'], 'Resource': 'unauthorized/arn:aws:iam::{account id}:role/{role name}/file.txt', 'Principal': {'Federated': 'arn:aws:iam::{account id}:oidc-provider/forbidden-gitlab.com'}, 'Condition': {'StringEquals': {'aws:RequestedRegion': 'us-east-1'}}}], 'analysis_result': ['allow_8993d6a8: must allow but got denied', 'allow_76407ea7: must allow but got denied', 'allow_d183c60e: must allow but got denied', 'allow_f307dac2: must allow but got denied', 'allow_d70606b8: must allow but got denied', 'allow_073faf3b: must allow but got denied', 'allow_d3852d97: must allow but got denied', 'allow_aba21a21: must allow but got denied', 'allow_a7a75d76: must allow but got denied', 'deny_8f5fd29a: must allow but got denied', 'deny_6807127b: must allow but got denied', 'deny_7ab50d79: must allow but got denied', 'deny_8ad3f7a4: must allow but got denied', 'deny_ab9d914e: must allow but got denied', 'deny_3bd3fd51: must allow but got denied', 'deny_21faaecd: must allow but got denied', 'deny_04f0fda1: must allow but got denied'], 'policy_metadata': {'policy_name': 'policy_5_iter_1.json', 'policy_index': None, 'original_policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-25-ollama/policy_5_iter_1.json', 'total_statements': 17, 'faulty_statements_count': 17, 'requests_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/requests/request-25/5.json', 'generated_timestamp': 1753289142}}"
