policy_idx,iteration,iteration_type,request_id,action,resource,expected,actual
0,0,baseline,allow_181dcd1a,s3:DeleteBucket,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
0,0,baseline,allow_8537ec92,s3:ListBucket,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
0,0,baseline,allow_8537ec92,s3:GetBucketAcl,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
0,0,baseline,allow_af65a2e3,athena:GetQueryResultsStream,arn:aws:s3:::my-bucket/document.txt,allow,deny
0,0,baseline,allow_5241d2d4,kms:Decrypt,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
0,0,baseline,allow_2a96ee04,athena:GetQueryResults,arn:aws:s3:::my-bucket/document.txt,allow,deny
0,0,baseline,allow_2a96ee04,athena:GetQueryResults,arn:aws:s3:::athena-query-results/document.txt,allow,deny
0,0,baseline,allow_2a96ee04,s3:DeleteBucket,arn:aws:s3:::my-bucket/document.txt,allow,deny
0,0,baseline,allow_2a96ee04,s3:DeleteBucket,arn:aws:s3:::athena-query-results/document.txt,allow,deny
0,0,baseline,allow_2a96ee04,s3:GetBucketAcl,arn:aws:s3:::my-bucket/document.txt,allow,deny
0,0,baseline,allow_2a96ee04,s3:GetBucketAcl,arn:aws:s3:::athena-query-results/document.txt,allow,deny
0,0,baseline,deny_afab1e4c,glue:GetDatabase,arn:aws:s3:::athena-query-results-forbidden/file.txt,deny,allow
0,0,baseline,deny_afab1e4c,athena:GetWorkGroup,arn:aws:s3:::athena-query-results-forbidden/file.txt,deny,allow
0,0,baseline,deny_9fd23c6c,athena:StopQueryExecution,arn:aws:s3:::bkt_logs-forbidden/file.txt,deny,allow
0,0,baseline,deny_a578f019,glue:GetPartitions,arn:aws:iam::123456789012:role/admin-role,deny,allow
1,0,baseline,allow_8f7f3575,sagemaker:DeleteNotebookInstance,arn:aws:s3:::my-bucket/document.txt,allow,deny
1,0,baseline,allow_8f7f3575,sagemaker:DeleteNotebookInstance,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
1,0,baseline,allow_8f7f3575,sagemaker:CreatePresignedNotebookInstanceUrl,arn:aws:s3:::my-bucket/document.txt,allow,deny
