policy_idx,iteration,accuracy,total_requests,correct,incorrect,misclassified_allow_to_deny,misclassified_deny_to_allow,failed_examples_count,failed_examples,policy_file
0,1,93.3,30,28,2,2,0,2,"[{'request_id': 'allow_a7cb7f00', 'action': 's3:ListBucket', 'resource': 'arn:aws:glue:us-east-1:123456789012:table/my-database/my-table', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_c811ae6d', 'action': 's3:GetBucketLocation', 'resource': 'arn:aws:glue:us-east-1:123456789012:table/my-database/my-table', 'expected': 'allow', 'actual': 'deny'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-30/policy_0_iter_1.json
0,2,100.0,30,30,0,0,0,0,[],/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-30/policy_0_iter_2.json
1,1,100.0,30,30,0,0,0,0,[],/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-30/policy_1_iter_1.json
2,1,100.0,30,30,0,0,0,0,[],/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-30/policy_2_iter_1.json
3,1,100.0,30,30,0,0,0,0,[],/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-30/policy_3_iter_1.json
4,1,93.3,30,28,2,2,0,2,"[{'request_id': 'allow_046e09a3', 'action': 's3:CreateBucket', 'resource': 'arn:aws:s3:::*/document.txt', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_33495986', 'action': 's3:GetBucketAcl', 'resource': 'arn:aws:s3:::*/temp/upload.tmp', 'expected': 'allow', 'actual': 'deny'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-30/policy_4_iter_1.json
4,2,100.0,30,30,0,0,0,0,[],/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-30/policy_4_iter_2.json
5,1,100.0,30,30,0,0,0,0,[],/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-30/policy_5_iter_1.json
6,1,100.0,30,30,0,0,0,0,[],/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-30/policy_6_iter_1.json
7,1,100.0,30,30,0,0,0,0,[],/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-30/policy_7_iter_1.json
8,1,86.7,30,26,4,4,0,4,"[{'request_id': 'allow_484da217', 'action': 's3:ListBucket', 'resource': 'arn:aws:s3:::my-bucket/document.txt', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_c4d97c5e', 'action': 's3:PutBucketPolicy', 'resource': 'arn:aws:s3:::my-bucket/document.txt', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_c4d97c5e', 'action': 's3:PutBucketPolicy', 'resource': 'arn:aws:s3:::bucket/data/file.json', 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_7e3e42cc', 'action': 's3:PutObject', 'resource': 'arn:aws:s3:::bucket', 'expected': 'allow', 'actual': 'deny'}]",/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-30/policy_8_iter_1.json
8,2,100.0,30,30,0,0,0,0,[],/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-30/policy_8_iter_2.json
9,1,100.0,30,30,0,0,0,0,[],/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-30/policy_9_iter_1.json
