policy_idx,iteration,iteration_type,request_id,action,resource,expected,actual
0,0,baseline,allow_b2a152f8,athena:BatchGetQueryExecution,arn:aws:s3:::my-bucket/document.txt,allow,deny
0,0,baseline,allow_b2a152f8,athena:BatchGetQueryExecution,arn:aws:s3:::athena-query-results/logs/app.log,allow,deny
0,0,baseline,allow_b2a152f8,athena:GetDatabase,arn:aws:s3:::my-bucket/document.txt,allow,deny
0,0,baseline,allow_b2a152f8,athena:GetDatabase,arn:aws:s3:::athena-query-results/logs/app.log,allow,deny
0,0,baseline,allow_55367f92,s3:DeleteObject,arn:aws:s3:::my-bucket/document.txt,allow,deny
0,0,baseline,allow_1f7e24bf,s3:DeleteObject,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
0,0,baseline,allow_1f7e24bf,s3:CreateBucket,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
0,0,baseline,deny_5de551a9,athena:GetQueryResultsStream,arn:aws:s3:::athena-query-results-forbidden/file.txt,deny,allow
0,0,baseline,deny_ebf5c153,athena:GetTableMetadata,arn:aws:s3:::forbidden-bucket/document.txt,deny,allow
0,0,baseline,deny_ebf5c153,athena:StopQueryExecution,arn:aws:s3:::forbidden-bucket/document.txt,deny,allow
0,0,baseline,allow_a314ffbf,athena:GetQueryExecution,arn:aws:s3:::bkt_logs/temp/upload.tmp,allow,deny
0,0,baseline,allow_ad3ef0aa,s3:GetBucketLocation,arn:aws:s3:::my-bucket/document.txt,allow,deny
0,0,baseline,allow_8c98a227,athena:BatchGetQueryExecution,arn:aws:s3:::athena-query-results/document.txt,allow,deny
0,0,baseline,allow_8c98a227,athena:BatchGetQueryExecution,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
0,0,baseline,deny_e6bac0db,athena:GetTableMetadata,arn:aws:s3:::bkt_logs-forbidden/file.txt,deny,allow
1,0,baseline,deny_be6247c4,sagemaker:StartNotebookInstance,arn:aws:kms:us-east-1:123456789012:key/forbidden-key,deny,allow
1,0,baseline,deny_be6247c4,glue:CreateScript,arn:aws:kms:us-east-1:123456789012:key/forbidden-key,deny,allow
1,0,baseline,allow_2609ba87,sagemaker:CreatePresignedNotebookInstanceUrl,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
1,0,baseline,allow_2609ba87,sagemaker:CreatePresignedNotebookInstanceUrl,arn:aws:s3:::my-bucket/document.txt,allow,deny
1,0,baseline,allow_2f78bec1,sagemaker:CreatePresignedNotebookInstanceUrl,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
1,0,baseline,deny_3e217007,sagemaker:ListTags,arn:aws:kms:us-east-1:123456789012:key/forbidden-key,deny,allow
1,0,baseline,allow_8544195f,sagemaker:CreatePresignedNotebookInstanceUrl,arn:aws:s3:::my-bucket/document.txt,allow,deny
1,0,baseline,allow_d737249a,sagemaker:CreatePresignedDomainUrl,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
1,0,baseline,allow_01a3ca91,sagemaker:StartNotebookInstance,arn:aws:s3:::my-bucket/document.txt,allow,deny
1,0,baseline,allow_e5610c31,sagemaker:UpdateNotebookInstance,arn:aws:sagemaker:::notebook-instance/logs/app.log,allow,deny
1,0,baseline,allow_e5610c31,sagemaker:UpdateNotebookInstance,arn:aws:sagemaker:::notebook-instance/data/file.json,allow,deny
1,0,baseline,allow_e5610c31,sagemaker:UpdateNotebookInstance,arn:aws:sagemaker:::notebook-instance/temp/upload.tmp,allow,deny
1,0,baseline,deny_b5e867f9,sagemaker:StopNotebookInstance,arn:aws:sagemaker:::notebook-instance/*-forbidden-resource,deny,allow
1,0,baseline,deny_b5e867f9,sagemaker:CreatePresignedDomainUrl,arn:aws:sagemaker:::notebook-instance/*-forbidden-resource,deny,allow
1,0,baseline,allow_b10b1ba7,sagemaker:CreatePresignedNotebookInstanceUrl,arn:aws:sagemaker:::notebook-instance/data/file.json,allow,deny
1,0,baseline,allow_b10b1ba7,sagemaker:CreatePresignedNotebookInstanceUrl,arn:aws:s3:::my-bucket/document.txt,allow,deny
1,0,baseline,allow_b10b1ba7,sagemaker:CreatePresignedNotebookInstanceUrl,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
