policy_idx,validation_type,accuracy,failed_examples_count,failed_examples,iteration,baseline_accuracy,improvement_from_baseline,total_requests,correct,incorrect,misclassified_allow_to_deny,misclassified_deny_to_allow,erroneous_policy,policy_file
0,baseline,64.0,0,[],,,,,,,,,,
1,baseline,64.0,0,[],,,,,,,,,,
2,baseline,70.0,0,[],,,,,,,,,,
3,baseline,64.0,0,[],,,,,,,,,,
4,baseline,60.0,0,[],,,,,,,,,,
5,baseline,82.0,0,[],,,,,,,,,,
6,baseline,40.0,0,[],,,,,,,,,,
7,baseline,90.0,0,[],,,,,,,,,,
8,baseline,60.0,0,[],,,,,,,,,,
9,baseline,80.0,0,[],,,,,,,,,,
4,repair_with_examples,100.0,0,[],1.0,60.0,40.0,50.0,50.0,0.0,0.0,0.0,"{'Version': '2012-10-17', 'Statement': [{'Sid': 'stmt1', 'Effect': 'Allow', 'Action': 's3:CreateBucket', 'Resource': 'arn:aws:s3:::*'}, {'Sid': 'stmt2', 'Effect': 'Allow', 'Action': ['s3:Get*', 's3:List*', 's3:Put*'], 'Resource': ['arn:aws:s3:::*', 'arn:aws:s3:::*/*']}, {'Sid': 'allow_bfdaa425', 'Effect': 'Allow', 'Action': ['s3:CreateBucket', 's3:PutObject', 's3:PutBucketPolicy'], 'Resource': ['arn:aws:s3:::file1', 'arn:aws:s3:::*/document.txt', 'arn:aws:s3:::*/data/file.json']}, {'Sid': 'allow_c2a208b0', 'Effect': 'Allow', 'Action': ['s3:DeleteObject'], 'Resource': ['arn:aws:s3:::*/logs/app.log'], 'Principal': {'AWS': 'arn:aws:iam::123456789012:user/alice'}, 'Condition': {'DateGreaterThan': {'aws:CurrentTime': '2024-01-01T00:00:00Z'}}}, {'Sid': 'allow_4b0d6755', 'Effect': 'Allow', 'Action': ['s3:DeleteBucket', 's3:PutBucketPolicy', 's3:PutObject'], 'Resource': ['arn:aws:s3:::*/logs/app.log']}, {'Sid': 'allow_28e5e922', 'Effect': 'Allow', 'Action': ['s3:ListBucket', 's3:GetObject'], 'Resource': ['arn:aws:s3:::*/temp/upload.tmp'], 'Principal': {'AWS': 'arn:aws:iam::123456789012:role/service-role'}, 'Condition': {'DateGreaterThan': {'aws:CurrentTime': '2024-01-01T00:00:00Z'}}}, {'Sid': 'allow_84f15249', 'Effect': 'Allow', 'Action': ['s3:GetBucketLocation'], 'Resource': ['arn:aws:s3:::file1']}, {'Sid': 'allow_b86d2a48', 'Effect': 'Allow', 'Action': ['s3:GetObject', 's3:DeleteBucket'], 'Resource': ['arn:aws:s3:::document']}, {'Sid': 'allow_4bacdd3b', 'Effect': 'Allow', 'Action': ['s3:DeleteObject', 's3:DeleteBucket'], 'Resource': ['arn:aws:s3:::*/temp/upload.tmp', 'arn:aws:s3:::document']}, {'Sid': 'allow_3ec367ea', 'Effect': 'Allow', 'Action': ['s3:PutObject'], 'Resource': ['arn:aws:s3:::*/temp/upload.tmp']}, {'Sid': 'allow_9c53c600', 'Effect': 'Allow', 'Action': ['s3:PutBucketPolicy'], 'Resource': ['arn:aws:s3:::data123'], 'Principal': {'AWS': 'arn:aws:iam::123456789012:user/bob'}, 'Condition': {'StringEquals': {'aws:RequestedRegion': 'us-west-2'}}}, {'Sid': 'allow_e25627fc', 'Effect': 'Allow', 'Action': ['s3:DeleteBucket', 's3:CreateBucket', 's3:GetBucketLocation'], 'Resource': ['arn:aws:s3:::file1'], 'Principal': {'AWS': 'arn:aws:iam::123456789012:user/bob'}, 'Condition': {'DateGreaterThan': {'aws:CurrentTime': '2024-01-01T00:00:00Z'}}}, {'Sid': 'deny_82d378f0', 'Effect': 'Deny', 'Action': ['s3:GetObject', 's3:PutBucketPolicy', 's3:GetBucketLocation'], 'Resource': ['arn:aws:s3:::completely-different-bucket/file.txt']}, {'Sid': 'deny_667405f9', 'Effect': 'Deny', 'Action': ['iam:CreateUser'], 'Resource': ['arn:aws:s3:::*/document.txt']}, {'Sid': 'deny_f6ce1848', 'Effect': 'Deny', 'Action': ['s3:CreateBucket', 's3:DeleteBucket'], 'Resource': ['arn:aws:s3:::different-*/file.txt']}, {'Sid': 'deny_0402fb72', 'Effect': 'Deny', 'Action': ['s3:GetBucketLocation'], 'Resource': ['arn:aws:s3:::different-*/file.txt']}, {'Sid': 'deny_eb91e5ae', 'Effect': 'Deny', 'Action': ['dynamodb:DeleteItem'], 'Resource': ['arn:aws:s3:::file1']}, {'Sid': 'deny_f4690edb', 'Effect': 'Deny', 'Action': ['s3:GetObject', 's3:PutBucketPolicy'], 'Resource': ['arn:aws:s3:::*-forbidden/file.txt'], 'Principal': {'AWS': 'arn:aws:iam::987654321098:user/charlie'}, 'Condition': {'DateGreaterThan': {'aws:CurrentTime': '2024-01-01T00:00:00Z'}}}, {'Sid': 'deny_61c765cd', 'Effect': 'Deny', 'Action': ['ec2:DescribeInstances'], 'Resource': ['arn:aws:s3:::*/data/file.json', 'arn:aws:s3:::*/document.txt']}, {'Sid': 'deny_9377c27c', 'Effect': 'Deny', 'Action': ['s3:DeleteBucket'], 'Resource': ['arn:aws:s3:::*-forbidden/file.txt']}, {'Sid': 'deny_4cd0a524', 'Effect': 'Deny', 'Action': ['ec2:RunInstances'], 'Resource': ['arn:aws:s3:::*/temp/upload.tmp']}, {'Sid': 'deny_5aa23afa', 'Effect': 'Deny', 'Action': ['ec2:DescribeInstances'], 'Resource': ['arn:aws:s3:::file1']}, {'Sid': 'deny_11ba59a3', 'Effect': 'Deny', 'Action': ['dynamodb:DeleteItem'], 'Resource': ['arn:aws:s3:::document', 'arn:aws:s3:::*/document.txt']}, {'Sid': 'deny_0a49df9f', 'Effect': 'Deny', 'Action': ['iam:CreateUser'], 'Resource': ['arn:aws:s3:::document', 'arn:aws:s3:::*/temp/upload.tmp']}, {'Sid': 'deny_76fb1c09', 'Effect': 'Deny', 'Action': ['s3:GetBucketLocation'], 'Resource': ['arn:aws:s3:::*-forbidden/file.txt']}], 'analysis_result': ['stmt1: must allow but got denied, must deny but got allow', 'stmt2: must allow but got denied, must deny but got allow', 'allow_bfdaa425: must allow but got denied', 'allow_c2a208b0: must allow but got denied', 'allow_4b0d6755: must allow but got denied', 'allow_28e5e922: must allow but got denied', 'allow_84f15249: must allow but got denied', 'allow_b86d2a48: must allow but got denied', 'allow_4bacdd3b: must allow but got denied', 'allow_3ec367ea: must allow but got denied', 'allow_9c53c600: must allow but got denied', 'allow_e25627fc: must allow but got denied', 'deny_82d378f0: must allow but got denied', 'deny_667405f9: must allow but got denied', 'deny_f6ce1848: must allow but got denied', 'deny_0402fb72: must allow but got denied', 'deny_eb91e5ae: must allow but got denied', 'deny_f4690edb: must allow but got denied', 'deny_61c765cd: must allow but got denied', 'deny_9377c27c: must allow but got denied', 'deny_4cd0a524: must allow but got denied', 'deny_5aa23afa: must allow but got denied', 'deny_11ba59a3: must allow but got denied', 'deny_0a49df9f: must allow but got denied', 'deny_76fb1c09: must allow but got denied'], 'policy_metadata': {'policy_name': 'policy_4_iter_1.json', 'policy_index': None, 'original_policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-50-ollamaa/policy_4_iter_1.json', 'total_statements': 25, 'faulty_statements_count': 25, 'requests_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/requests/request-50/4.json', 'generated_timestamp': 1753569644}}",/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-50-ollamaa/policy_4_iter_1.json
7,repair_with_examples,96.0,2,"[{'request_id': 'allow_4ac354a4', 'action': 's3:DeleteObject', 'resource': 'arn:aws:s3:::bucket/logs/app.log', 'principal': 'arn:aws:iam::123456789012:user/alice', 'condition': ""{'DateLessThan': {'aws:CurrentTime': '2025-12-31T23:59:59Z'}}"", 'expected': 'allow', 'actual': 'deny'}, {'request_id': 'allow_ab712845', 'action': 's3:PutObject', 'resource': 'arn:aws:s3:::bucket/logs/app.log', 'principal': 'arn:aws:iam::123456789012:user/alice', 'condition': ""{'StringEquals': {'aws:RequestedRegion': 'us-east-1'}}"", 'expected': 'allow', 'actual': 'deny'}]",1.0,90.0,6.0,50.0,48.0,2.0,2.0,0.0,"{'Version': '2012-10-17', 'Statement': [{'Sid': 'stmt1', 'Principal': {'AWS': 'arn:aws:iam::${aws:PrincipalOrgID}:root'}, 'Effect': 'Allow', 'Action': ['s3:*'], 'Resource': ['arn:aws:s3:::bucket', 'arn:aws:s3:::bucket/*'], 'Condition': {'StringEquals': {'s3:prefix': ['home/${aws:userid}/', 'home/${aws:username}']}}}, {'Sid': 'allow_e3e01193', 'Principal': {'AWS': 'arn:aws:iam::${aws:PrincipalOrgID}:root'}, 'Effect': 'Allow', 'Action': ['s3:ListBucket'], 'Resource': ['arn:aws:s3:::bucket/logs/app.log', 'arn:aws:s3:::bucket']}, {'Sid': 'allow_21208be4', 'Principal': {'AWS': 'arn:aws:iam::${aws:PrincipalOrgID}:root'}, 'Effect': 'Allow', 'Action': ['s3:PutBucketPolicy'], 'Resource': ['arn:aws:s3:::bucket']}, {'Sid': 'allow_3717c46e', 'Principal': {'AWS': 'arn:aws:iam::${aws:PrincipalOrgID}:root'}, 'Effect': 'Allow', 'Action': ['s3:PutBucketPolicy'], 'Resource': ['arn:aws:s3:::bucket/logs/app.log']}, {'Sid': 'allow_a381c403', 'Principal': {'AWS': 'arn:aws:iam::123456789012:user/alice'}, 'Effect': 'Allow', 'Action': ['s3:PutBucketPolicy'], 'Resource': ['arn:aws:s3:::bucket']}, {'Sid': 'allow_40ba2bcd', 'Principal': {'AWS': 'arn:aws:iam::${aws:PrincipalOrgID}:root'}, 'Effect': 'Allow', 'Action': ['s3:CreateBucket'], 'Resource': ['arn:aws:s3:::bucket']}, {'Sid': 'allow_1e7b48d7', 'Principal': {'AWS': 'arn:aws:iam::${aws:PrincipalOrgID}:root'}, 'Effect': 'Allow', 'Action': ['s3:DeleteBucket'], 'Resource': ['arn:aws:s3:::bucket/temp/upload.tmp']}, {'Sid': 'allow_84bbcdb8', 'Principal': {'AWS': 'arn:aws:iam::${aws:PrincipalOrgID}:root'}, 'Effect': 'Allow', 'Action': ['s3:GetBucketLocation'], 'Resource': ['arn:aws:s3:::bucket/data/file.json']}, {'Sid': 'allow_b5d4f41b', 'Principal': {'AWS': 'arn:aws:iam::123456789012:user/bob'}, 'Effect': 'Allow', 'Action': ['s3:GetBucketAcl'], 'Resource': ['arn:aws:s3:::bucket/logs/app.log', 'arn:aws:s3:::bucket/document.txt']}, {'Sid': 'allow_9e200b13', 'Principal': {'AWS': 'arn:aws:iam::${aws:PrincipalOrgID}:root'}, 'Effect': 'Allow', 'Action': ['s3:GetBucketLocation'], 'Resource': ['arn:aws:s3:::bucket/temp/upload.tmp']}, {'Sid': 'allow_3ae7dff6', 'Principal': {'AWS': 'arn:aws:iam::${aws:PrincipalOrgID}:root'}, 'Effect': 'Allow', 'Action': ['s3:CreateBucket'], 'Resource': ['arn:aws:s3:::bucket/logs/app.log']}, {'Sid': 'allow_817906dd', 'Principal': {'AWS': 'arn:aws:iam::${aws:PrincipalOrgID}:root'}, 'Effect': 'Allow', 'Action': ['s3:PutObject'], 'Resource': ['arn:aws:s3:::bucket']}, {'Sid': 'allow_5db3b4f9', 'Principal': {'AWS': 'arn:aws:iam::${aws:PrincipalOrgID}:root'}, 'Effect': 'Allow', 'Action': ['s3:GetBucketAcl'], 'Resource': ['arn:aws:s3:::bucket']}, {'Sid': 'allow_b79d4a3f', 'Principal': {'AWS': 'arn:aws:iam::${aws:PrincipalOrgID}:root'}, 'Effect': 'Allow', 'Action': ['s3:DeleteObject'], 'Resource': ['arn:aws:s3:::bucket']}, {'Sid': 'allow_1d03b779', 'Principal': {'AWS': 'arn:aws:iam::${aws:PrincipalOrgID}:root'}, 'Effect': 'Allow', 'Action': ['s3:DeleteObject'], 'Resource': ['arn:aws:s3:::bucket']}, {'Sid': 'allow_383f3445', 'Principal': {'AWS': 'arn:aws:iam::${aws:PrincipalOrgID}:root'}, 'Effect': 'Allow', 'Action': ['s3:DeleteObject'], 'Resource': ['arn:aws:s3:::bucket']}, {'Sid': 'allow_9eb10f5f', 'Principal': {'AWS': 'arn:aws:iam::${aws:PrincipalOrgID}:root'}, 'Effect': 'Allow', 'Action': ['s3:CreateBucket'], 'Resource': ['arn:aws:s3:::bucket/temp/upload.tmp']}, {'Sid': 'allow_4ac354a4', 'Principal': {'AWS': 'arn:aws:iam::${aws:PrincipalOrgID}:root'}, 'Effect': 'Allow', 'Action': ['s3:DeleteObject'], 'Resource': ['arn:aws:s3:::bucket/logs/app.log']}, {'Sid': 'allow_7d2f1524', 'Principal': {'AWS': 'arn:aws:iam::${aws:PrincipalOrgID}:root'}, 'Effect': 'Allow', 'Action': ['s3:GetObject'], 'Resource': ['arn:aws:s3:::bucket', 'arn:aws:s3:::bucket/logs/app.log']}, {'Sid': 'allow_3f6cbffb', 'Principal': {'AWS': 'arn:aws:iam::${aws:PrincipalOrgID}:root'}, 'Effect': 'Allow', 'Action': ['s3:PutObject'], 'Resource': ['arn:aws:s3:::bucket']}, {'Sid': 'allow_e36f0780', 'Principal': {'AWS': 'arn:aws:iam::${aws:PrincipalOrgID}:root'}, 'Effect': 'Allow', 'Action': ['s3:PutBucketPolicy'], 'Resource': ['arn:aws:s3:::bucket', 'arn:aws:s3:::bucket/logs/app.log']}, {'Sid': 'allow_e564dbbe', 'Principal': {'AWS': 'arn:aws:iam::${aws:PrincipalOrgID}:root'}, 'Effect': 'Allow', 'Action': ['s3:GetBucketAcl'], 'Resource': ['arn:aws:s3:::bucket/temp/upload.tmp']}], 'analysis_result': ['stmt1: must allow but got denied', 'allow_e3e01193: must allow but got denied', 'allow_21208be4: must allow but got denied', 'allow_3717c46e: must allow but got denied', 'allow_a381c403: must allow but got denied', 'allow_40ba2bcd: must allow but got denied', 'allow_1e7b48d7: must allow but got denied', 'allow_84bbcdb8: must allow but got denied', 'allow_b5d4f41b: must allow but got denied', 'allow_9e200b13: must allow but got denied', 'allow_3ae7dff6: must allow but got denied', 'allow_817906dd: must allow but got denied', 'allow_5db3b4f9: must allow but got denied', 'allow_b79d4a3f: must allow but got denied', 'allow_1d03b779: must allow but got denied', 'allow_383f3445: must allow but got denied', 'allow_9eb10f5f: must allow but got denied', 'allow_4ac354a4: must allow but got denied', 'allow_7d2f1524: must allow but got denied', 'allow_3f6cbffb: must allow but got denied', 'allow_e36f0780: must allow but got denied', 'allow_e564dbbe: must allow but got denied'], 'policy_metadata': {'policy_name': 'policy_7_iter_1.json', 'policy_index': None, 'original_policy_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-50-ollamaa/policy_7_iter_1.json', 'total_statements': 22, 'faulty_statements_count': 22, 'requests_file': '/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/requests/request-50/7.json', 'generated_timestamp': 1753569702}}",/home/bhall2/Documents/fixmypolicy/FL/Experiment-2/temp_validation/val-50-ollamaa/policy_7_iter_1.json
