policy_idx,iteration,request_id,action,resource,expected,actual
0,1,allow_c1b30720,s3:CreateBucket,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
0,1,allow_c1b30720,s3:ListBucket,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
0,1,allow_c1b30720,athena:GetDatabase,arn:aws:s3:::my-bucket/document.txt,allow,deny
0,1,allow_ecf3e72f,s3:GetBucketLocation,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
0,1,allow_ecf3e72f,s3:DeleteObject,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
0,1,allow_b95264ae,athena:GetQueryExecution,arn:aws:s3:::bkt_logs/data/file.json,allow,deny
0,1,allow_9c2e653f,athena:StopQueryExecution,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
0,1,allow_9c2e653f,athena:StopQueryExecution,arn:aws:s3:::bkt_logs/temp/upload.tmp,allow,deny
0,1,allow_9c2e653f,s3:GetBucketLocation,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
0,1,allow_9c2e653f,s3:GetBucketLocation,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
0,1,allow_ca3cc698,athena:GetQueryResults,arn:aws:s3:::bkt_logs/document.txt,allow,deny
0,1,allow_ca3cc698,athena:GetDatabase,arn:aws:s3:::bkt_logs/document.txt,allow,deny
0,1,allow_62987474,athena:StopQueryExecution,arn:aws:s3:::athena-query-results/temp/upload.tmp,allow,deny
0,1,allow_4cceccae,s3:GetObject,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
0,1,allow_4cceccae,s3:GetObject,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
0,1,allow_1ecee360,s3:GetBucketAcl,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
8,1,allow_99f0a1c0,s3:DeleteBucket,arn:aws:s3:::bucket/logs/app.log,allow,deny
8,1,allow_99f0a1c0,s3:DeleteBucket,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
8,1,allow_99f0a1c0,s3:CreateBucket,arn:aws:s3:::bucket/logs/app.log,allow,deny
8,1,allow_99f0a1c0,s3:CreateBucket,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
8,1,allow_a90cdf0e,s3:PutObject,arn:aws:s3:::bucket,allow,deny
8,1,allow_3de9ae28,s3:DeleteObject,arn:aws:s3:::bucket,allow,deny
8,1,allow_3de9ae28,s3:DeleteObject,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
8,1,allow_3de9ae28,s3:GetObject,arn:aws:s3:::bucket,allow,deny
8,1,allow_3de9ae28,s3:GetObject,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
8,1,allow_8ba7a127,s3:GetBucketLocation,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
8,1,allow_9d28a4f3,s3:GetObject,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
8,1,allow_9d28a4f3,s3:GetObject,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
8,1,allow_bb1a1d51,s3:PutBucketPolicy,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
8,1,allow_42c15574,s3:DeleteBucket,arn:aws:s3:::bucket/temp/upload.tmp,allow,deny
8,1,allow_56ba4314,s3:GetObject,arn:aws:athena:us-east-1:123456789012:workgroup/primary,allow,deny
8,2,allow_42c15574,s3:ListAllMyBuckets,arn:aws:s3:::bucket/temp/upload.tmp,allow,deny
8,3,allow_99f0a1c0,s3:DeleteBucket,arn:aws:s3:::bucket/logs/app.log,allow,deny
8,3,allow_99f0a1c0,s3:DeleteBucket,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
8,3,allow_99f0a1c0,s3:CreateBucket,arn:aws:s3:::bucket/logs/app.log,allow,deny
8,3,allow_99f0a1c0,s3:CreateBucket,arn:aws:glue:us-east-1:123456789012:table/my-database/my-table,allow,deny
8,3,allow_42c15574,s3:DeleteBucket,arn:aws:s3:::bucket/temp/upload.tmp,allow,deny
